transaction_id,timestamp,amount,sender_bank,receiver_bank,payment_method,upi_app,bank_health,latency_ms,payment_status,timeout,error_code
TXN0000016,2026-01-01 01:02:23,242.5,KOTAK,HDFC,UPI,Paytm,NORMAL,945.34,SUCCESS,0,NONE
TXN0000017,2026-01-01 01:04:16,321.0,BOB,AXIS,UPI,GooglePay,NORMAL,882.88,SUCCESS,0,NONE
TXN0000018,2026-01-01 01:13:44,466.24,HDFC,KOTAK,UPI,Paytm,NORMAL,1715.76,SUCCESS,0,NONE
TXN0000019,2026-01-01 01:17:49,1821.85,ICICI,BOB,UPI,PhonePe,NORMAL,896.04,SUCCESS,0,NONE
TXN0000020,2026-01-01 01:19:39,706.02,IDFC,BOB,UPI,PhonePe,NORMAL,1337.22,SUCCESS,0,NONE
TXN0000021,2026-01-01 01:20:52,936.2,CANARA,PNB,UPI,GooglePay,NORMAL,734.51,SUCCESS,0,NONE
TXN0000022,2026-01-01 01:24:17,1187.77,KOTAK,IDFC,UPI,PhonePe,NORMAL,883.81,SUCCESS,0,NONE
TXN0000023,2026-01-01 01:24:54,189.7,INDUSIND,IDFC,UPI,BHIM,NORMAL,1683.21,SUCCESS,0,NONE
TXN0000024,2026-01-01 01:27:30,395.7,PNB,AXIS,UPI,PhonePe,NORMAL,751.67,SUCCESS,0,NONE
TXN0000025,2026-01-01 01:29:26,77.78,PNB,IDFC,UPI,GooglePay,NORMAL,1297.47,SUCCESS,0,NONE
TXN0000026,2026-01-01 01:31:57,829.63,ICICI,HDFC,UPI,Paytm,NORMAL,1212.27,SUCCESS,0,NONE
TXN0000027,2026-01-01 01:33:41,947.49,SBI,INDUSIND,UPI,GooglePay,NORMAL,716.58,SUCCESS,0,NONE
TXN0000028,2026-01-01 01:35:52,684.6,ICICI,CANARA,UPI,BHIM,NORMAL,1638.85,SUCCESS,0,NONE
TXN0000029,2026-01-01 01:36:13,638.07,AXIS,CANARA,UPI,PhonePe,NORMAL,750.4,FAILED,0,BANK_TIMEOUT
TXN0000030,2026-01-01 01:36:16,1520.55,AXIS,ICICI,UPI,GooglePay,NORMAL,976.87,SUCCESS,0,NONE
TXN0000031,2026-01-01 01:36:34,32.14,PNB,AXIS,UPI,BHIM,NORMAL,1161.92,SUCCESS,0,NONE
TXN0000032,2026-01-01 01:37:26,510.91,INDUSIND,ICICI,UPI,Paytm,NORMAL,972.0,SUCCESS,0,NONE
TXN0000033,2026-01-01 01:39:24,145.21,SBI,HDFC,UPI,GooglePay,NORMAL,912.16,SUCCESS,0,NONE
TXN0000034,2026-01-01 01:39:42,274.15,AXIS,HDFC,UPI,GooglePay,NORMAL,741.93,SUCCESS,0,NONE
TXN0000035,2026-01-01 01:39:50,53.42,BOB,ICICI,UPI,GooglePay,NORMAL,731.39,SUCCESS,0,NONE
TXN0000036,2026-01-01 01:41:14,186.97,KOTAK,CANARA,UPI,Paytm,NORMAL,563.65,SUCCESS,0,NONE
TXN0000037,2026-01-01 01:48:30,216.64,AXIS,BOB,UPI,PhonePe,NORMAL,1097.85,SUCCESS,0,NONE
TXN0000038,2026-01-01 01:49:14,696.82,PNB,BOB,UPI,PhonePe,NORMAL,1192.26,SUCCESS,0,NONE
TXN0000039,2026-01-01 01:50:34,192.28,HDFC,SBI,UPI,Paytm,NORMAL,1683.36,SUCCESS,0,NONE
TXN0000040,2026-01-01 01:52:22,829.09,HDFC,SBI,UPI,GooglePay,NORMAL,1340.89,SUCCESS,0,NONE
TXN0000041,2026-01-01 02:01:13,484.99,ICICI,KOTAK,UPI,Paytm,NORMAL,2324.19,SUCCESS,0,NONE
TXN0000042,2026-01-01 02:01:31,149.98,IDFC,IDFC,UPI,BHIM,NORMAL,1329.39,SUCCESS,0,NONE
TXN0000043,2026-01-01 02:02:54,194.06,SBI,INDUSIND,UPI,Paytm,NORMAL,998.21,SUCCESS,0,NONE
TXN0000044,2026-01-01 02:04:03,1248.83,BOB,KOTAK,UPI,Paytm,NORMAL,1413.7,SUCCESS,0,NONE
TXN0000045,2026-01-01 02:04:18,925.04,BOB,KOTAK,UPI,GooglePay,NORMAL,817.72,FAILED,0,INVALID_UPI
TXN0000046,2026-01-01 02:06:26,418.83,ICICI,IDFC,UPI,BHIM,NORMAL,1301.32,SUCCESS,0,NONE
TXN0000047,2026-01-01 02:10:31,1031.14,CANARA,CANARA,UPI,BHIM,NORMAL,1473.67,SUCCESS,0,NONE
TXN0000048,2026-01-01 02:11:35,920.47,ICICI,AXIS,UPI,GooglePay,NORMAL,709.7,SUCCESS,0,NONE
TXN0000049,2026-01-01 02:13:08,1650.78,IDFC,BOB,UPI,Paytm,NORMAL,1557.14,SUCCESS,0,NONE
TXN0000050,2026-01-01 02:16:12,69.42,AXIS,SBI,UPI,BHIM,NORMAL,490.54,SUCCESS,0,NONE
TXN0000051,2026-01-01 02:18:25,1154.45,AXIS,CANARA,UPI,PhonePe,NORMAL,933.23,SUCCESS,0,NONE
TXN0000052,2026-01-01 02:20:45,476.77,IDFC,ICICI,UPI,PhonePe,NORMAL,991.94,SUCCESS,0,NONE
TXN0000053,2026-01-01 02:20:53,625.65,SBI,PNB,UPI,Paytm,NORMAL,1297.82,SUCCESS,0,NONE
TXN0000054,2026-01-01 02:22:18,295.63,AXIS,CANARA,UPI,BHIM,NORMAL,1354.02,SUCCESS,0,NONE
TXN0000055,2026-01-01 02:23:58,262.44,KOTAK,IDFC,UPI,Paytm,NORMAL,694.13,SUCCESS,0,NONE
TXN0000056,2026-01-01 02:25:04,148.92,KOTAK,BOB,UPI,Paytm,NORMAL,1843.34,SUCCESS,0,NONE
TXN0000057,2026-01-01 02:28:20,1495.65,PNB,INDUSIND,UPI,BHIM,NORMAL,1717.25,SUCCESS,0,NONE
TXN0000058,2026-01-01 02:28:35,108.26,INDUSIND,IDFC,UPI,PhonePe,NORMAL,902.55,SUCCESS,0,NONE
TXN0000059,2026-01-01 02:29:52,775.05,AXIS,KOTAK,UPI,PhonePe,NORMAL,998.82,SUCCESS,0,NONE
TXN0000060,2026-01-01 02:34:25,172.53,CANARA,PNB,UPI,GooglePay,NORMAL,1023.86,SUCCESS,0,NONE
TXN0000061,2026-01-01 02:35:26,680.91,ICICI,ICICI,UPI,PhonePe,NORMAL,635.77,SUCCESS,0,NONE
TXN0000062,2026-01-01 02:35:50,174.45,ICICI,CANARA,UPI,Paytm,NORMAL,717.26,SUCCESS,0,NONE
TXN0000063,2026-01-01 02:37:17,401.16,HDFC,BOB,UPI,PhonePe,NORMAL,1102.09,SUCCESS,0,NONE
TXN0000064,2026-01-01 02:38:53,191.35,IDFC,HDFC,UPI,GooglePay,NORMAL,541.36,SUCCESS,0,NONE
TXN0000065,2026-01-01 02:40:32,739.51,INDUSIND,KOTAK,UPI,PhonePe,NORMAL,1301.96,SUCCESS,0,NONE
TXN0000066,2026-01-01 02:42:34,1333.37,IDFC,HDFC,UPI,GooglePay,NORMAL,1173.14,SUCCESS,0,NONE
TXN0000067,2026-01-01 02:45:21,220.92,IDFC,KOTAK,UPI,PhonePe,NORMAL,814.29,SUCCESS,0,NONE
TXN0000068,2026-01-01 02:50:16,788.51,BOB,SBI,UPI,BHIM,NORMAL,1219.25,SUCCESS,0,NONE
TXN0000069,2026-01-01 02:54:28,359.19,IDFC,KOTAK,UPI,BHIM,NORMAL,449.3,SUCCESS,0,NONE
TXN0000070,2026-01-01 02:56:07,786.92,IDFC,BOB,UPI,PhonePe,NORMAL,1279.27,SUCCESS,0,NONE
TXN0000071,2026-01-01 02:57:03,358.15,SBI,IDFC,UPI,GooglePay,NORMAL,752.37,SUCCESS,0,NONE
TXN0000072,2026-01-01 03:03:02,3807.21,AXIS,CANARA,UPI,PhonePe,NORMAL,861.07,SUCCESS,0,NONE
TXN0000073,2026-01-01 03:03:14,518.14,AXIS,INDUSIND,UPI,Paytm,NORMAL,514.43,SUCCESS,0,NONE
TXN0000074,2026-01-01 03:06:06,99.92,AXIS,IDFC,UPI,PhonePe,NORMAL,976.94,SUCCESS,0,NONE
TXN0000075,2026-01-01 03:06:46,299.76,PNB,SBI,UPI,GooglePay,NORMAL,1282.85,SUCCESS,0,NONE
TXN0000076,2026-01-01 03:09:10,809.14,SBI,HDFC,UPI,GooglePay,NORMAL,2017.8,SUCCESS,0,NONE
TXN0000077,2026-01-01 03:19:35,452.14,KOTAK,HDFC,UPI,BHIM,NORMAL,685.04,SUCCESS,0,NONE
TXN0000078,2026-01-01 03:20:25,297.44,PNB,KOTAK,UPI,PhonePe,NORMAL,1208.29,SUCCESS,0,NONE
TXN0000079,2026-01-01 03:22:42,213.07,BOB,ICICI,UPI,GooglePay,NORMAL,1925.24,SUCCESS,0,NONE
TXN0000080,2026-01-01 03:23:59,304.84,AXIS,HDFC,UPI,GooglePay,NORMAL,1161.85,SUCCESS,0,NONE
TXN0000081,2026-01-01 03:24:11,2294.98,AXIS,PNB,UPI,PhonePe,NORMAL,1537.74,SUCCESS,0,NONE
TXN0000082,2026-01-01 03:33:32,913.25,SBI,IDFC,UPI,GooglePay,NORMAL,1406.53,SUCCESS,0,NONE
TXN0000083,2026-01-01 03:39:10,1898.41,ICICI,CANARA,UPI,PhonePe,NORMAL,1147.05,FAILED,0,BANK_TIMEOUT
TXN0000084,2026-01-01 03:41:43,693.35,CANARA,KOTAK,UPI,PhonePe,NORMAL,1209.78,SUCCESS,0,NONE
TXN0000085,2026-01-01 03:44:03,457.52,SBI,INDUSIND,UPI,BHIM,NORMAL,496.39,SUCCESS,0,NONE
TXN0000086,2026-01-01 03:47:50,1045.41,INDUSIND,SBI,UPI,PhonePe,NORMAL,975.16,SUCCESS,0,NONE
TXN0000087,2026-01-01 03:55:28,500.9,ICICI,HDFC,UPI,GooglePay,NORMAL,999.53,SUCCESS,0,NONE
TXN0000088,2026-01-01 04:03:39,238.67,BOB,IDFC,UPI,Paytm,NORMAL,1077.46,SUCCESS,0,NONE
TXN0000089,2026-01-01 04:05:48,3624.8,IDFC,KOTAK,UPI,BHIM,NORMAL,1064.74,SUCCESS,0,NONE
TXN0000090,2026-01-01 04:07:10,393.48,PNB,BOB,UPI,PhonePe,NORMAL,1175.7,SUCCESS,0,NONE
TXN0000091,2026-01-01 04:08:06,94.7,PNB,ICICI,UPI,BHIM,NORMAL,1575.49,SUCCESS,0,NONE
TXN0000092,2026-01-01 04:11:16,685.5,SBI,BOB,UPI,Paytm,NORMAL,1660.07,SUCCESS,0,NONE
TXN0000093,2026-01-01 04:20:01,1673.61,CANARA,CANARA,UPI,BHIM,NORMAL,1240.55,SUCCESS,0,NONE
TXN0000094,2026-01-01 04:21:24,604.95,KOTAK,BOB,UPI,BHIM,NORMAL,1400.22,SUCCESS,0,NONE
TXN0000095,2026-01-01 04:22:21,765.14,IDFC,KOTAK,UPI,PhonePe,NORMAL,1944.62,SUCCESS,0,NONE
TXN0000096,2026-01-01 04:23:16,3034.09,CANARA,ICICI,UPI,PhonePe,NORMAL,609.26,SUCCESS,0,NONE
TXN0000097,2026-01-01 04:23:26,1136.8,HDFC,INDUSIND,UPI,Paytm,NORMAL,856.29,SUCCESS,0,NONE
TXN0000098,2026-01-01 04:26:43,244.91,PNB,ICICI,UPI,PhonePe,NORMAL,1404.13,SUCCESS,0,NONE
TXN0000099,2026-01-01 04:26:47,253.85,CANARA,SBI,UPI,Paytm,NORMAL,1687.18,SUCCESS,0,NONE
TXN0000100,2026-01-01 04:29:32,139.37,IDFC,CANARA,UPI,BHIM,NORMAL,797.23,SUCCESS,0,NONE
TXN0000101,2026-01-01 04:30:52,88.71,HDFC,SBI,UPI,GooglePay,NORMAL,873.04,SUCCESS,0,NONE
TXN0000102,2026-01-01 04:32:52,327.5,CANARA,HDFC,UPI,BHIM,NORMAL,1631.14,SUCCESS,0,NONE
TXN0000103,2026-01-01 04:33:55,2139.03,IDFC,AXIS,UPI,PhonePe,NORMAL,709.43,SUCCESS,0,NONE
TXN0000104,2026-01-01 04:36:23,143.96,IDFC,ICICI,UPI,GooglePay,NORMAL,2249.17,SUCCESS,0,NONE
TXN0000105,2026-01-01 04:37:41,900.76,SBI,ICICI,UPI,GooglePay,NORMAL,1303.15,SUCCESS,0,NONE
TXN0000106,2026-01-01 04:38:22,1132.94,BOB,KOTAK,UPI,PhonePe,NORMAL,640.7,SUCCESS,0,NONE
TXN0000107,2026-01-01 04:39:34,156.49,CANARA,BOB,UPI,PhonePe,NORMAL,1606.42,SUCCESS,0,NONE
TXN0000108,2026-01-01 04:40:27,204.39,BOB,KOTAK,UPI,BHIM,NORMAL,1637.73,SUCCESS,0,NONE
TXN0000109,2026-01-01 04:44:08,963.94,SBI,ICICI,UPI,GooglePay,NORMAL,1108.03,SUCCESS,0,NONE
TXN0000110,2026-01-01 04:48:09,563.26,ICICI,AXIS,UPI,PhonePe,NORMAL,1779.09,SUCCESS,0,NONE
TXN0000111,2026-01-01 04:52:14,427.67,HDFC,KOTAK,UPI,Paytm,NORMAL,1299.52,SUCCESS,0,NONE
TXN0000112,2026-01-01 04:56:30,40.15,SBI,INDUSIND,UPI,Paytm,NORMAL,672.47,SUCCESS,0,NONE
TXN0000113,2026-01-01 04:57:01,73.3,AXIS,BOB,UPI,BHIM,NORMAL,1807.46,SUCCESS,0,NONE
TXN0000114,2026-01-01 04:59:36,961.24,KOTAK,ICICI,UPI,GooglePay,NORMAL,539.64,SUCCESS,0,NONE
TXN0000115,2026-01-01 05:00:00,129.37,PNB,CANARA,UPI,Paytm,NORMAL,1857.53,SUCCESS,0,NONE
TXN0000116,2026-01-01 05:05:53,306.03,INDUSIND,CANARA,UPI,Paytm,NORMAL,1556.31,SUCCESS,0,NONE
TXN0000117,2026-01-01 05:06:00,999.95,AXIS,AXIS,UPI,PhonePe,NORMAL,880.37,SUCCESS,0,NONE
TXN0000118,2026-01-01 05:06:23,337.8,SBI,AXIS,UPI,GooglePay,NORMAL,1177.27,SUCCESS,0,NONE
TXN0000119,2026-01-01 05:10:56,814.58,ICICI,IDFC,UPI,PhonePe,NORMAL,1528.77,SUCCESS,0,NONE
TXN0000120,2026-01-01 05:10:57,661.92,BOB,PNB,UPI,PhonePe,NORMAL,1016.82,SUCCESS,0,NONE
TXN0000121,2026-01-01 05:11:28,343.53,PNB,CANARA,UPI,Paytm,NORMAL,763.57,SUCCESS,0,NONE
TXN0000122,2026-01-01 05:11:50,235.34,IDFC,IDFC,UPI,GooglePay,NORMAL,568.9,SUCCESS,0,NONE
TXN0000123,2026-01-01 05:13:31,231.23,ICICI,INDUSIND,UPI,PhonePe,NORMAL,2422.07,FAILED,0,MERCHANT_ERROR
TXN0000124,2026-01-01 05:14:18,233.24,PNB,HDFC,UPI,Paytm,NORMAL,1167.19,SUCCESS,0,NONE
TXN0000125,2026-01-01 05:14:58,2444.86,SBI,IDFC,UPI,GooglePay,NORMAL,1076.44,SUCCESS,1,NONE
TXN0000126,2026-01-01 05:18:30,1056.86,HDFC,BOB,UPI,GooglePay,NORMAL,886.8,SUCCESS,0,NONE
TXN0000127,2026-01-01 05:18:43,320.76,SBI,HDFC,UPI,Paytm,NORMAL,1979.19,SUCCESS,0,NONE
TXN0000128,2026-01-01 05:20:56,230.16,IDFC,IDFC,UPI,BHIM,NORMAL,963.25,SUCCESS,0,NONE
TXN0000129,2026-01-01 05:23:06,1764.83,INDUSIND,AXIS,UPI,Paytm,NORMAL,632.52,SUCCESS,0,NONE
TXN0000130,2026-01-01 05:24:30,265.52,BOB,HDFC,UPI,PhonePe,NORMAL,752.65,SUCCESS,0,NONE
TXN0000131,2026-01-01 05:24:32,434.78,AXIS,PNB,UPI,PhonePe,NORMAL,890.25,SUCCESS,0,NONE
TXN0000132,2026-01-01 05:27:48,627.62,ICICI,INDUSIND,UPI,Paytm,NORMAL,1080.13,SUCCESS,0,NONE
TXN0000133,2026-01-01 05:29:07,77.01,CANARA,CANARA,UPI,BHIM,NORMAL,958.36,SUCCESS,0,NONE
TXN0000134,2026-01-01 05:29:21,370.45,SBI,INDUSIND,UPI,GooglePay,NORMAL,776.77,SUCCESS,0,NONE
TXN0000135,2026-01-01 05:29:39,109.47,HDFC,INDUSIND,UPI,GooglePay,NORMAL,1131.63,SUCCESS,0,NONE
TXN0000136,2026-01-01 05:29:42,52.69,SBI,SBI,UPI,PhonePe,NORMAL,846.98,SUCCESS,0,NONE
TXN0000137,2026-01-01 05:33:15,2032.68,IDFC,PNB,UPI,GooglePay,NORMAL,2336.56,SUCCESS,0,NONE
TXN0000138,2026-01-01 05:35:47,922.32,SBI,HDFC,UPI,Paytm,NORMAL,647.99,SUCCESS,0,NONE
TXN0000139,2026-01-01 05:40:04,681.78,SBI,SBI,UPI,BHIM,NORMAL,1367.72,SUCCESS,0,NONE
TXN0000140,2026-01-01 05:41:33,235.6,ICICI,BOB,UPI,BHIM,NORMAL,1351.34,SUCCESS,0,NONE
TXN0000141,2026-01-01 05:41:57,449.41,PNB,KOTAK,UPI,Paytm,NORMAL,892.86,SUCCESS,0,NONE
TXN0000142,2026-01-01 05:42:22,263.34,KOTAK,BOB,UPI,Paytm,NORMAL,1144.84,FAILED,0,NETWORK_TIMEOUT
TXN0000143,2026-01-01 05:42:32,219.87,IDFC,SBI,UPI,Paytm,NORMAL,484.91,SUCCESS,0,NONE
TXN0000144,2026-01-01 05:42:51,94.17,ICICI,AXIS,UPI,PhonePe,NORMAL,2283.63,SUCCESS,0,NONE
TXN0000145,2026-01-01 05:43:17,160.49,KOTAK,SBI,UPI,GooglePay,NORMAL,560.87,SUCCESS,0,NONE
TXN0000146,2026-01-01 05:44:01,268.18,KOTAK,IDFC,UPI,GooglePay,NORMAL,669.18,SUCCESS,0,NONE
TXN0000147,2026-01-01 05:46:11,1814.41,KOTAK,INDUSIND,UPI,Paytm,NORMAL,752.09,SUCCESS,0,NONE
TXN0000148,2026-01-01 05:46:23,6841.41,SBI,PNB,UPI,Paytm,NORMAL,1305.89,SUCCESS,0,NONE
TXN0000149,2026-01-01 05:46:45,35.01,INDUSIND,AXIS,UPI,BHIM,NORMAL,1551.29,SUCCESS,0,NONE
TXN0000150,2026-01-01 05:46:46,11352.02,SBI,CANARA,UPI,Paytm,NORMAL,597.95,SUCCESS,0,NONE
TXN0000151,2026-01-01 05:49:19,4480.1,AXIS,CANARA,UPI,Paytm,NORMAL,1734.74,SUCCESS,0,NONE
TXN0000152,2026-01-01 05:51:07,1491.19,PNB,PNB,UPI,PhonePe,NORMAL,1648.1,SUCCESS,0,NONE
TXN0000153,2026-01-01 05:52:36,291.86,CANARA,AXIS,UPI,PhonePe,NORMAL,1499.12,SUCCESS,0,NONE
TXN0000154,2026-01-01 05:59:08,228.24,KOTAK,BOB,UPI,GooglePay,NORMAL,1211.41,SUCCESS,0,NONE
TXN0000155,2026-01-01 05:59:53,110.47,AXIS,INDUSIND,UPI,Paytm,NORMAL,1382.09,SUCCESS,0,NONE
TXN0000156,2026-01-01 06:00:26,457.52,SBI,BOB,UPI,PhonePe,NORMAL,604.25,SUCCESS,0,NONE
TXN0000157,2026-01-01 06:01:07,298.71,INDUSIND,INDUSIND,UPI,GooglePay,NORMAL,1343.57,SUCCESS,0,NONE
TXN0000158,2026-01-01 06:01:09,228.54,HDFC,CANARA,UPI,GooglePay,NORMAL,1120.0,SUCCESS,0,NONE
TXN0000159,2026-01-01 06:03:55,1352.25,KOTAK,CANARA,UPI,PhonePe,NORMAL,1650.41,SUCCESS,0,NONE
TXN0000160,2026-01-01 06:03:56,136.56,PNB,ICICI,UPI,GooglePay,NORMAL,1163.71,SUCCESS,0,NONE
TXN0000161,2026-01-01 06:03:57,109.59,KOTAK,PNB,UPI,PhonePe,NORMAL,1068.06,SUCCESS,0,NONE
TXN0000162,2026-01-01 06:05:11,2074.5,BOB,AXIS,UPI,PhonePe,NORMAL,1119.66,SUCCESS,0,NONE
TXN0000163,2026-01-01 06:08:10,1296.81,CANARA,AXIS,UPI,BHIM,NORMAL,1109.9,SUCCESS,0,NONE
TXN0000164,2026-01-01 06:09:09,139.77,INDUSIND,IDFC,UPI,BHIM,NORMAL,1277.35,SUCCESS,0,NONE
TXN0000165,2026-01-01 06:12:04,100.46,INDUSIND,HDFC,UPI,Paytm,NORMAL,509.13,SUCCESS,0,NONE
TXN0000166,2026-01-01 06:12:11,932.29,ICICI,KOTAK,UPI,PhonePe,NORMAL,736.83,SUCCESS,0,NONE
TXN0000167,2026-01-01 06:12:58,279.43,HDFC,INDUSIND,UPI,GooglePay,NORMAL,1449.06,SUCCESS,0,NONE
TXN0000168,2026-01-01 06:13:15,79.8,KOTAK,IDFC,UPI,BHIM,NORMAL,720.66,SUCCESS,0,NONE
TXN0000169,2026-01-01 06:13:31,635.94,INDUSIND,HDFC,UPI,PhonePe,NORMAL,1105.68,SUCCESS,0,NONE
TXN0000170,2026-01-01 06:13:53,652.13,BOB,INDUSIND,UPI,GooglePay,NORMAL,1736.72,SUCCESS,0,NONE
TXN0000171,2026-01-01 06:14:07,392.05,IDFC,AXIS,UPI,Paytm,NORMAL,1054.64,SUCCESS,0,NONE
TXN0000172,2026-01-01 06:14:08,225.15,HDFC,INDUSIND,UPI,BHIM,NORMAL,1271.82,FAILED,0,BANK_TIMEOUT
TXN0000173,2026-01-01 06:18:57,4764.94,BOB,SBI,UPI,BHIM,NORMAL,495.32,SUCCESS,0,NONE
TXN0000174,2026-01-01 06:19:20,351.79,SBI,IDFC,UPI,Paytm,NORMAL,806.84,SUCCESS,0,NONE
TXN0000175,2026-01-01 06:19:26,80.4,HDFC,CANARA,UPI,BHIM,NORMAL,1487.48,SUCCESS,0,NONE
TXN0000176,2026-01-01 06:19:32,397.42,KOTAK,CANARA,UPI,PhonePe,NORMAL,1628.09,SUCCESS,0,NONE
TXN0000177,2026-01-01 06:19:34,568.24,KOTAK,HDFC,UPI,GooglePay,NORMAL,1159.57,SUCCESS,0,NONE
TXN0000178,2026-01-01 06:20:15,602.06,ICICI,IDFC,UPI,GooglePay,NORMAL,1088.42,SUCCESS,0,NONE
TXN0000179,2026-01-01 06:20:39,2491.23,SBI,IDFC,UPI,GooglePay,NORMAL,718.1,SUCCESS,0,NONE
TXN0000180,2026-01-01 06:21:14,551.44,SBI,IDFC,UPI,PhonePe,NORMAL,957.15,SUCCESS,0,NONE
TXN0000181,2026-01-01 06:21:54,323.22,CANARA,BOB,UPI,Paytm,NORMAL,1528.96,SUCCESS,0,NONE
TXN0000182,2026-01-01 06:24:58,446.12,CANARA,KOTAK,UPI,BHIM,NORMAL,968.71,SUCCESS,0,NONE
TXN0000183,2026-01-01 06:25:51,119.38,SBI,HDFC,UPI,PhonePe,NORMAL,952.27,SUCCESS,0,NONE
TXN0000184,2026-01-01 06:30:49,70.86,IDFC,ICICI,UPI,GooglePay,NORMAL,1169.71,SUCCESS,0,NONE
TXN0000185,2026-01-01 06:30:53,361.63,IDFC,AXIS,UPI,PhonePe,NORMAL,1202.21,SUCCESS,0,NONE
TXN0000186,2026-01-01 06:31:07,242.62,CANARA,KOTAK,UPI,GooglePay,NORMAL,1010.48,SUCCESS,0,NONE
TXN0000187,2026-01-01 06:31:08,260.02,INDUSIND,CANARA,UPI,Paytm,NORMAL,1138.5,SUCCESS,0,NONE
TXN0000188,2026-01-01 06:32:29,304.86,HDFC,BOB,UPI,PhonePe,NORMAL,717.19,SUCCESS,0,NONE
TXN0000189,2026-01-01 06:32:52,1355.86,IDFC,INDUSIND,UPI,PhonePe,NORMAL,1079.04,SUCCESS,0,NONE
TXN0000190,2026-01-01 06:35:42,440.2,SBI,ICICI,UPI,PhonePe,NORMAL,1105.06,SUCCESS,0,NONE
TXN0000191,2026-01-01 06:36:08,386.53,SBI,IDFC,UPI,Paytm,NORMAL,1058.31,SUCCESS,0,NONE
TXN0000192,2026-01-01 06:36:31,104.18,KOTAK,SBI,UPI,PhonePe,NORMAL,1039.34,SUCCESS,0,NONE
TXN0000193,2026-01-01 06:37:04,78.23,PNB,BOB,UPI,BHIM,NORMAL,1101.11,SUCCESS,0,NONE
TXN0000194,2026-01-01 06:37:06,951.37,IDFC,ICICI,UPI,Paytm,NORMAL,1956.21,SUCCESS,0,NONE
TXN0000195,2026-01-01 06:39:15,2188.09,INDUSIND,HDFC,UPI,Paytm,NORMAL,534.29,SUCCESS,0,NONE
TXN0000196,2026-01-01 06:39:38,132.87,BOB,CANARA,UPI,Paytm,NORMAL,1144.11,SUCCESS,0,NONE
TXN0000197,2026-01-01 06:40:26,332.87,SBI,BOB,UPI,BHIM,NORMAL,645.7,SUCCESS,0,NONE
TXN0000198,2026-01-01 06:40:39,634.92,KOTAK,SBI,UPI,PhonePe,NORMAL,1099.31,SUCCESS,0,NONE
TXN0000199,2026-01-01 06:41:04,427.92,SBI,HDFC,UPI,PhonePe,NORMAL,811.63,SUCCESS,0,NONE
TXN0000200,2026-01-01 06:41:24,80.71,IDFC,HDFC,UPI,BHIM,NORMAL,1004.49,SUCCESS,0,NONE
TXN0000201,2026-01-01 06:41:34,912.18,ICICI,AXIS,UPI,BHIM,NORMAL,725.28,SUCCESS,0,NONE
TXN0000202,2026-01-01 06:43:15,792.87,CANARA,PNB,UPI,PhonePe,NORMAL,400.15,SUCCESS,0,NONE
TXN0000203,2026-01-01 06:43:34,145.53,IDFC,CANARA,UPI,GooglePay,NORMAL,869.11,SUCCESS,0,NONE
TXN0000204,2026-01-01 06:44:29,598.3,BOB,PNB,UPI,Paytm,NORMAL,707.97,SUCCESS,0,NONE
TXN0000205,2026-01-01 06:45:15,711.52,PNB,PNB,UPI,BHIM,NORMAL,1174.96,SUCCESS,1,NONE
